the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E61000009CBDB7124FCF52C060EEEE5CF3F84340,0101000020110F00007572766449F35FC1964D219B15885241,7434166,2020,202012028800.0,411,2020-04-07 00:00:00+00,19:38:00,B,M,21,Arm,N,N,N,5800 BLOCK ANGORA TERR,0,-75.23920124,39.94492685,12,0,1,0,39.94492685,-75.23920124
0101000020E6100000EEF583F4B3CE52C0C9C87AE63CF94340,0101000020110F0000F32AB0E841F25FC1599F381267885241,7434167,2020,202012029001.0,411,2020-04-08 00:00:00+00,16:59:00,B,M,38,Leg,N,N,N,5300 BLOCK THOMAS AVE,0,-75.22973359,39.94717103,12,0,1,0,39.94717103,-75.22973359
0101000020E6100000E4A18C442ACE52C065AF6F0E74F64340,0101000020110F00004D82780858F15FC1DD01527D51855241,7434168,2020,202012029496.0,411,2020-04-10 00:00:00+00,15:53:00,B,M,27,Multiple,N,N,N,5900 BLOCK LINDBERGH BLVD,0,-75.22132982,39.92541676,12,0,1,0,39.92541676,-75.22132982
0101000020E6100000939CC0323ECF52C0347FF1B160F64340,0101000020110F0000B11B91BA2CF35FC1E411280C3C855241,7434169,2020,202012029580.0,411,2020-04-11 00:00:00+00,18:46:00,W,M,34,Multiple,N,N,N,6700 BLOCK GREENWAY AVE,1,-75.23817128,39.9248259,12,0,1,0,39.9248259,-75.23817128
0101000020E61000005BAEE1964DCE52C0336DDEBC61F64340,0101000020110F0000C62CC80794F15FC13862C4333D855241,7434170,2020,202012030289.0,411,2020-04-13 00:00:00+00,21:19:00,B,M,18,Unknown,N,N,N,6100 BLOCK BUIST AVE,0,-75.22348568,39.92485772,12,0,1,0,39.92485772,-75.22348568
0101000020E6100000BDE2672B08CE52C0BEE734C917F84340,0101000020110F00002C5C241D1EF15FC1F135665F22875241,7434171,2020,202012032527.0,411,2020-04-22 00:00:00+00,21:12:00,B,M,19,Multiple,N,N,N,5300 BLOCK GREENWAY AVE,0,-75.21924863,39.93822589,12,0,1,0,39.93822589,-75.21924863
0101000020E610000007435F720ACE52C03980FAA61BF84340,0101000020110F000048755EFB21F15FC11286C0A726875241,7434172,2020,202012032535.0,411,2020-04-22 00:00:00+00,21:12:00,B,M,19,Chest,N,N,N,5300 BLOCK  GREENWAY AVE,0,-75.21938762,39.93834388,12,0,1,0,39.93834388,-75.21938762
0101000020E6100000BDE2672B08CE52C0BEE734C917F84340,0101000020110F00002C5C241D1EF15FC1F135665F22875241,7434173,2020,202012032536.0,411,2020-04-22 00:00:00+00,21:12:00,B,M,19,Arm,N,N,N,5300 BLOCK GREENWAY AVE,0,-75.21924863,39.93822589,12,0,1,0,39.93822589,-75.21924863
0101000020E61000009DBFA65A8DCE52C003E7CE44BFF54340,0101000020110F000022FA585700F25FC1BE6CAE4789845241,7434174,2020,202012032681.0,111,2020-04-23 00:00:00+00,14:50:00,B,M,17,Multiple/Head,N,N,N,6400 BLOCK Dicks Av,0,-75.22737757,39.91989956,12,0,1,1,39.91989956,-75.22737757
0101000020E61000009AF4CED386C452C0C8A4F1D183014440,0101000020110F00006A4258D6F8E05FC1DA779D9393915241,7432879,2019,201915056609.0,3301,2019-07-17 00:00:00+00,22:03:00,B,M,27,Multiple,N,N,N,5100 BLOCK Tulip St,0,-75.07072921,40.01183533,15,0,1,1,40.01183533,-75.07072921
0101000020E61000009A5BA5E4AAC252C03454FFFF83044440,0101000020110F0000414B446AD0DD5FC16EECD989E7945241,7432880,2019,201915057299.0,411,2019-06-09 00:00:00+00,14:25:00,W,M,23,Neck,N,N,N,7200 BLOCK Charles St,0,-75.04168049,40.03527833,15,0,1,0,40.03527832,-75.04168049
0101000020E61000009A5BA5E4AAC252C03454FFFF83044440,0101000020110F0000414B446AD0DD5FC16EECD989E7945241,7432881,2019,201915057300.0,411,2019-06-09 00:00:00+00,14:25:00,B,M,21,shoulder,N,N,N,7200 BLOCK Charles St,0,-75.04168049,40.03527833,15,0,1,0,40.03527832,-75.04168049
0101000020E6100000C581E3744AC552C0AC3641CC8C034440,0101000020110F00007465192245E25FC17998DA57D5935241,7432882,2019,201915057948.0,111,2019-06-11 00:00:00+00,11:03:00,B,M,26,Multiple,N,N,N,5300 BLOCK Horrocks St,0,-75.08266948,40.02773431,15,0,1,1,40.02773431,-75.08266947
0101000020E610000075B935A71AC552C0FA8E6D5B8C024440,0101000020110F0000BE942BEFF3E15FC1976FB8EEB8925241,7432883,2019,201915058720.0,411,2019-06-13 00:00:00+00,00:23:00,B,M,27,Multiple,N,N,N,1600 BLOCK Wakeling St,0,-75.07975178,40.01990836,15,0,1,0,40.01990836,-75.07975178
0101000020E61000006502B838AEC252C04C8D6DA519034440,0101000020110F0000E0279911D6DD5FC1E941BEA055935241,7432884,2019,201915059522.0,411,2019-06-14 00:00:00+00,19:50:00,B,M,30,Leg,N,N,N,4800 BLOCK Longshore Ave,0,-75.04188364,40.02422016,15,0,1,0,40.02422016,-75.04188364
0101000020E6100000F2F6D67689C452C02693CF029F014440,0101000020110F00006B0DF450FDE05FC120C664BAB1915241,7432885,2019,201915059930.0,411,2019-06-15 00:00:00+00,20:07:00,B,M,35,Multiple,N,N,N,2100 BLOCK Granite St,0,-75.07089015,40.01266513,15,0,1,0,40.01266513,-75.07089015
0101000020E6100000CBF3642711C252C02BF9F96B09044440,0101000020110F0000E6B50346CBDC5FC1FA4353925F945241,7432886,2019,201915060081.0,411,2019-06-15 00:00:00+00,02:19:00,B,M,25,Stomach,N,N,N,7400 BLOCK Torresdale Ave,0,-75.03229699,40.03153753,15,0,1,0,40.03153753,-75.03229699
0101000020E61000008606FFAE51C552C06A0C00766A024440,0101000020110F0000A665B16851E25FC173D1785793925241,7432887,2019,201915061758.0,411,2019-06-20 00:00:00+00,19:59:00,B,M,33,Foot,N,N,N,4800 BLOCK GRISCOM ST,0,-75.08311057,40.01887393,15,0,1,0,40.01887393,-75.08311057
0101000020E6100000A0411A80D3C452C0D10EB03DD0024440,0101000020110F0000AB3FFA127BE15FC17E819C3704935241,7432888,2019,201915062232.0,411,2019-06-22 00:00:00+00,00:02:00,W,M,19,Multiple,N,N,N,1600 BLOCK BRIDGE ST,1,-75.07540895,40.02198001,15,0,1,0,40.02198001,-75.07540896
0101000020E6100000FD8791B1DCC352C069B2772DBE034440,0101000020110F000091DE15D9D7DF5FC1A9FCCC1C0C945241,7432889,2019,201915062973.0,411,2019-06-23 00:00:00+00,23:00:00,B,M,21,Multiple,N,N,N,3100 BLOCK BARNETT ST,0,-75.06034507,40.02924126,15,0,1,0,40.02924126,-75.06034507
0101000020E61000007D7004CA22C352C0A465EE6BEE024440,0101000020110F00009DF70B129CDE5FC1AAAB61B025935241,7432890,2019,201915063317.0,411,2019-06-24 00:00:00+00,21:40:00,W,M,25,Hand,N,N,N,6500 BLOCK TORRESDALE AVE,0,-75.04899836,40.02290106,15,0,1,0,40.02290105,-75.04899836
0101000020E61000000256BBE407C552C02550EDA137014440,0101000020110F0000558EAD11D4E15FC1A04077183F915241,7432891,2019,201915064926.0,411,2019-06-28 00:00:00+00,19:45:00,B,M,32,Hand,N,N,N,2100 BLOCK Orthodox St,0,-75.07860678,40.00951027,15,0,1,0,40.00951027,-75.07860678
0101000020E610000086CB095EDDC652C0D17D946C50034440,0101000020110F000098DC8384F1E45FC151FBAD6192935241,7432892,2019,201915066020.0,411,2019-07-01 00:00:00+00,17:50:00,B,M,25,Arm,N,N,N,5000 BLOCK Pennway St,0,-75.10726119,40.02589185,15,0,1,0,40.02589185,-75.10726119
0101000020E6100000BCBFAC1679C452C0C4833D588C014440,0101000020110F0000E0AE2380E1E05FC1648283079D915241,7432893,2019,201915066044.0,411,2019-07-01 00:00:00+00,18:56:00,B,M,30,Leg,N,N,N,5200 BLOCK Tulip St,0,-75.06989066,40.01209548,15,0,1,0,40.01209548,-75.06989066
0101000020E6100000EF034EBEB2C152C0EBFD885740044440,0101000020110F0000F93A62E82ADC5FC1282A507D9C945241,7432894,2019,201915070042.0,111,2019-07-12 00:00:00+00,00:41:00,B,M,36,Multiple,N,N,N,4700 BLOCK Hartel Ave,0,-75.02653463,40.03321356,15,0,1,1,40.03321356,-75.02653463
0101000020E61000009AF4CED386C452C0C8A4F1D183014440,0101000020110F00006A4258D6F8E05FC1DA779D9393915241,7432895,2019,201915072246.0,111,2019-07-17 00:00:00+00,22:03:00,B,M,27,Multiple,N,N,N,5100 BLOCK Tulip St,0,-75.07072921,40.01183533,15,0,1,1,40.01183533,-75.07072921
