race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,race_cat,gender_cat,O,C,E,A,N,E_pct,A_pct,C_pct,N_pct,O_pct
13,19,2,2,1,1,LT,1,2,2,1,3,2,2,2,3,3,2,4,2,4,2,2,1,1,2,4,2,5,5,5,4,4,5,4,5,3,2,3,4,1,3,2,2,5,1,5,5,3,5,4,4,5,4,3,4,4,Other,female,41,28,21,42,24,18,65,23,30,58
11,29,2,2,1,1,US,2,3,4,4,4,5,3,2,2,3,5,2,4,3,4,5,4,5,4,4,4,4,3,3,5,2,4,4,2,3,4,3,5,5,4,4,4,5,3,4,5,5,4,5,4,5,5,4,4,4,"South East Asian (Chinese, Thai, Malay, Filipino, etc)",female,45,41,32,34,40,57,23,83,88,81
3,29,1,2,1,2,US,2,3,1,2,2,2,1,3,3,2,3,3,1,2,3,3,2,3,3,3,5,4,5,4,4,4,3,5,4,3,4,4,4,4,4,5,5,4,4,4,4,4,5,3,4,4,3,4,5,3,Caucasian (European),female,39,42,21,41,26,18,59,86,37,46
3,21,1,1,2,2,CA,3,3,4,3,4,3,3,3,4,3,3,4,3,5,3,4,4,4,4,4,5,4,4,4,4,5,4,4,4,3,3,2,5,3,2,2,3,4,4,3,3,4,4,4,4,4,5,2,5,3,Caucasian (European),male,38,31,33,41,38,60,59,37,83,40
3,52,1,2,1,1,US,3,2,4,2,2,3,3,3,4,1,2,4,2,3,4,4,3,4,5,3,5,4,5,5,3,3,3,3,4,4,3,1,4,3,1,1,4,2,2,4,4,3,4,2,4,4,4,4,5,4,Caucasian (European),female,38,25,27,39,34,37,48,12,70,40
3,19,2,2,1,1,GR,1,3,2,2,2,3,3,4,2,1,1,4,2,3,4,3,5,5,3,3,1,4,5,5,5,3,5,4,5,4,4,5,5,4,1,2,3,5,2,4,3,1,5,5,4,5,5,3,3,5,Caucasian (European),female,39,35,23,41,33,23,59,57,66,46
3,48,1,1,1,2,US,5,1,4,5,5,5,5,5,5,4,3,4,2,5,3,3,2,3,3,4,2,5,2,4,2,4,5,2,4,5,2,1,2,1,1,1,3,3,5,5,4,5,5,5,5,5,4,4,2,5,Caucasian (European),male,44,24,44,35,32,93,27,10,62,75
3,22,1,1,1,4,US,3,3,4,3,2,4,3,2,2,2,2,3,2,3,4,4,3,3,4,4,5,2,5,3,4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,2,2,3,4,3,3,4,3,2,4,3,Caucasian (European),male,31,30,28,38,32,41,42,32,62,10
1,17,1,2,1,1,US,2,2,3,2,2,4,4,1,1,1,1,4,1,1,3,2,1,2,2,2,3,5,1,4,5,5,5,4,2,3,2,1,3,2,1,4,2,1,3,1,4,3,3,5,4,4,3,3,5,5,Mixed Race,female,39,20,22,37,19,20,37,3,13,46
3,37,2,1,1,3,DK,3,3,3,3,2,4,4,4,3,2,5,3,2,5,4,3,5,5,4,5,5,4,3,4,3,3,4,4,4,4,4,5,4,4,4,5,2,3,2,4,3,4,4,3,4,4,4,3,4,3,Caucasian (European),male,36,37,31,38,41,53,42,67,90,29
1,19,1,2,1,1,US,4,4,1,1,4,5,3,3,1,1,2,4,1,2,4,2,2,3,2,2,4,5,2,5,4,5,4,4,5,4,1,5,3,1,1,2,3,5,1,3,3,3,5,3,3,5,3,3,3,5,Mixed Race,female,36,25,27,42,24,37,65,12,30,29
3,22,1,2,1,1,US,2,3,3,2,3,4,4,1,2,2,1,3,1,2,4,4,3,4,3,3,4,3,4,4,3,3,3,4,5,5,3,2,5,3,2,4,3,3,3,3,4,5,5,5,4,4,5,3,5,5,Caucasian (European),female,45,31,26,38,28,34,42,37,46,81
3,25,1,1,2,4,US,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,2,4,4,4,4,3,4,4,Caucasian (European),male,36,38,40,38,38,83,42,72,83,29
