race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,race_cat,gender_cat,O,C,E,A,N,E_pct,A_pct,C_pct,N_pct,O_pct
3,18,2,2,1,1,IS,4,5,5,5,5,4,5,4,4,4,2,4,2,3,3,2,3,3,4,3,5,5,3,5,5,5,5,5,5,5,3,2,4,3,2,2,2,3,2,3,4,5,5,5,4,5,4,4,3,5,Caucasian (European),female,44,26,45,48,29,94,93,16,50,75
13,20,1,2,1,1,GB,3,4,3,4,4,2,2,2,3,3,1,4,1,3,2,2,2,3,3,2,3,4,2,3,3,3,3,4,4,3,4,3,5,2,4,2,4,4,3,4,3,3,1,4,4,3,4,3,4,4,Other,female,33,35,30,32,23,49,17,57,26,17
3,21,2,2,1,1,FR,1,2,2,1,3,3,1,2,2,2,3,3,2,2,2,3,3,3,3,2,4,4,5,4,3,4,3,3,4,3,2,3,4,4,2,4,4,2,2,3,4,4,4,4,4,4,4,3,5,4,Caucasian (European),female,40,30,19,37,26,13,37,32,37,52
3,13,1,2,1,1,US,2,2,2,1,3,4,1,1,1,3,1,3,1,5,3,1,1,1,1,1,5,3,4,5,5,5,4,5,5,4,4,4,4,4,4,4,3,2,4,5,3,3,3,4,4,3,5,3,4,4,Caucasian (European),female,36,38,20,45,18,15,80,72,10,29
3,18,1,2,1,1,GB,2,2,1,2,1,2,1,1,1,1,1,1,1,4,2,1,1,1,1,2,2,1,1,1,1,3,2,2,2,1,5,4,4,4,2,5,5,3,5,5,5,4,2,5,3,2,2,5,5,2,Caucasian (European),female,35,42,14,16,15,4,0,86,5,25
1,17,1,2,1,5,CA,3,4,4,1,4,4,3,1,1,1,3,4,2,2,2,1,4,4,3,4,2,5,3,4,2,5,5,3,4,4,4,5,4,4,3,3,4,3,4,3,2,2,5,5,3,4,3,1,4,4,Mixed Race,female,33,37,26,37,29,34,37,67,50,17
3,46,2,2,1,1,NL,4,5,4,5,5,5,4,4,5,3,3,4,2,3,3,3,3,3,3,3,4,5,4,4,4,3,4,4,4,5,3,4,4,4,4,5,3,4,3,4,5,3,4,2,3,4,5,5,4,4,Caucasian (European),female,39,38,44,41,30,93,59,72,54,46
11,20,2,2,2,2,PK,3,5,2,4,3,4,3,3,4,3,3,3,3,2,4,3,2,2,4,3,1,4,3,5,5,5,4,3,5,3,4,5,5,3,3,3,3,2,2,2,3,3,3,3,5,4,3,3,3,5,"South East Asian (Chinese, Thai, Malay, Filipino, etc)",female,35,32,34,38,29,64,42,42,50,25
4,28,2,1,1,1,IN,2,2,2,1,2,2,2,2,2,1,5,2,1,4,2,1,4,2,3,2,3,3,4,4,3,4,2,2,4,5,4,2,4,2,2,4,4,3,3,4,2,4,5,3,3,5,3,2,3,3,Caucasian (Indian),male,33,32,18,34,26,10,23,42,37,17
3,20,1,1,1,1,US,3,1,4,1,4,2,4,3,4,4,4,4,4,3,5,3,4,4,2,2,2,5,2,2,4,2,3,4,1,2,4,2,3,3,1,1,2,1,1,1,3,3,4,4,3,4,4,4,5,5,Caucasian (European),male,39,19,30,27,35,49,7,2,74,46
13,20,1,2,1,2,US,2,4,5,2,4,5,5,1,1,5,1,3,1,1,4,5,4,3,3,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,3,5,3,5,4,4,3,4,5,5,3,5,3,2,3,4,Other,female,37,43,34,48,30,64,93,89,54,35
3,15,1,1,1,1,IE,2,4,4,4,5,5,4,1,3,2,4,5,5,3,4,4,3,5,1,5,4,3,2,4,4,2,4,5,5,2,4,3,5,5,2,4,5,4,5,5,4,4,4,5,5,5,5,1,1,5,Caucasian (European),male,39,42,34,35,39,64,27,86,86,46
13,49,1,1,1,1,JM,1,5,5,1,5,5,1,1,1,1,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,1,5,5,5,1,5,4,Other,male,37,50,26,50,47,34,98,99,98,35
3,49,1,1,1,1,US,3,2,3,2,3,3,2,1,1,2,5,3,3,3,4,4,3,4,5,3,4,4,5,2,4,4,4,5,5,5,4,3,5,3,3,5,5,2,3,5,5,5,5,5,5,5,5,5,4,5,Caucasian (European),male,49,38,22,42,37,20,65,72,80,96
3,22,1,1,1,1,US,2,3,2,2,4,4,2,1,2,2,2,3,2,2,3,3,2,2,2,2,2,5,2,3,2,4,4,3,4,2,4,1,2,2,2,2,2,4,3,3,4,4,5,5,5,4,4,4,4,4,Caucasian (European),male,43,25,24,31,23,27,14,12,26,70
3,17,1,1,1,1,US,1,1,1,1,1,1,1,1,1,1,3,4,2,4,2,3,2,4,2,4,2,2,3,2,2,3,2,2,2,1,2,3,4,3,1,2,4,2,4,3,3,2,1,2,4,1,5,1,4,4,Caucasian (European),male,27,28,10,21,30,0,2,23,54,3
8,22,1,1,1,1,US,3,2,3,2,3,2,2,1,2,3,4,4,2,2,5,5,4,4,5,3,5,4,5,5,4,4,4,4,5,4,4,3,4,2,4,2,3,2,4,3,4,5,4,5,4,4,5,4,4,4,Native American,male,43,31,23,44,38,23,76,37,83,70
13,20,2,1,2,1,IN,1,1,2,1,1,1,1,2,4,1,5,5,1,1,2,2,2,5,4,5,1,5,5,5,3,5,1,1,5,4,3,4,5,5,4,1,5,5,3,2,1,2,4,5,3,4,4,1,4,2,Other,male,30,37,15,35,32,5,27,67,62,8
3,20,2,2,1,1,BG,3,3,4,3,3,2,4,5,5,3,4,4,3,4,3,5,3,3,4,5,5,4,5,4,5,4,5,4,4,3,4,4,3,5,3,4,3,5,3,4,3,4,4,5,3,5,5,3,3,3,Caucasian (European),female,38,38,35,43,38,68,70,72,83,40
3,19,1,2,1,2,US,1,2,2,2,4,2,2,1,2,1,2,4,2,2,2,2,2,2,1,2,4,3,2,4,4,5,4,2,4,2,4,4,4,3,2,4,4,4,4,4,5,3,5,4,4,5,2,5,5,5,Caucasian (European),female,43,37,19,34,21,13,23,67,19,70
3,76,0,1,1,1,GB,3,4,5,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,1,4,4,2,1,4,4,4,3,4,4,4,4,4,4,4,4,4,4,Caucasian (European),male,40,31,39,38,38,80,42,37,83,52
3,22,1,1,1,1,GB,2,1,3,1,2,1,2,1,1,1,4,5,2,2,2,3,1,3,2,5,5,4,3,4,4,4,3,4,4,2,3,2,3,2,1,2,4,4,3,4,4,4,5,5,4,5,5,3,4,4,Caucasian (European),male,43,28,15,37,29,5,37,23,50,70
3,30,1,2,1,2,US,4,5,3,4,4,5,4,4,4,1,1,2,1,2,2,2,1,2,2,2,4,5,4,5,4,4,5,4,5,4,3,2,5,3,2,2,4,4,4,5,5,3,5,3,4,5,4,4,4,5,Caucasian (European),female,42,34,38,44,17,77,76,52,8,64
3,21,1,2,2,1,GB,1,4,2,3,3,2,1,2,1,3,1,1,1,1,2,2,2,2,2,2,4,2,2,3,4,3,2,3,3,2,3,3,2,2,3,3,4,4,2,2,2,2,2,4,1,2,2,2,4,2,Caucasian (European),female,23,28,22,28,16,20,8,23,6,1
6,46,1,2,1,1,US,4,5,5,4,5,5,5,3,4,5,4,3,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,2,4,4,3,2,3,5,4,4,4,5,4,3,4,5,5,2,3,5,"Caucasian (North African, Other)",female,40,34,45,48,45,94,93,52,96,52
3,24,2,2,1,1,FI,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,2,4,4,3,4,4,2,1,4,2,4,1,1,1,1,4,4,5,1,5,5,4,4,2,3,4,3,1,5,4,1,2,4,4,4,Caucasian (European),female,32,37,13,21,23,2,2,67,26,13
8,31,1,2,1,1,US,4,2,3,4,4,4,5,1,2,5,3,3,4,1,4,4,3,4,4,5,3,4,4,3,4,2,3,3,3,4,3,4,3,5,3,4,4,3,4,4,3,3,2,4,3,1,4,2,2,3,Native American,female,27,37,34,33,35,64,20,67,74,3
3,17,2,2,1,1,DE,1,3,3,2,2,3,1,2,2,2,1,2,2,2,3,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,5,3,3,4,2,4,5,3,4,4,4,4,4,5,4,5,4,2,3,3,Caucasian (European),female,38,37,21,36,28,18,32,67,46,40
13,36,1,2,1,2,JM,3,3,4,3,4,5,4,2,3,3,5,3,1,3,5,4,5,5,4,5,5,3,5,5,5,5,5,4,5,3,4,5,5,5,5,4,5,5,3,1,5,5,5,5,5,5,5,3,4,5,Other,female,47,42,34,45,40,64,80,86,88,90
3,18,2,2,1,5,MX,3,3,4,2,5,4,4,3,5,3,4,5,1,3,4,4,3,4,3,3,2,4,4,4,4,3,4,4,5,4,5,4,4,4,2,1,3,3,4,4,4,4,4,5,3,5,4,3,3,3,Caucasian (European),female,38,34,36,38,34,71,42,52,70,40
3,18,1,2,2,1,US,2,2,2,2,2,3,2,2,2,1,1,3,1,2,2,2,2,3,2,2,3,2,3,4,4,2,2,3,4,4,4,3,5,3,3,3,4,4,4,5,5,4,4,4,3,3,4,4,5,4,Caucasian (European),female,40,38,20,31,20,15,14,72,16,52
8,32,1,2,1,1,US,2,5,4,3,4,4,3,2,2,2,2,3,2,2,3,2,3,3,2,3,4,4,4,5,4,4,4,4,4,4,4,1,4,2,3,2,3,4,3,4,3,4,4,3,4,4,4,3,4,4,Native American,female,37,30,31,41,25,53,59,32,34,35
6,53,1,2,1,4,US,5,5,2,5,3,5,5,5,5,3,4,4,3,3,5,5,1,1,1,4,3,5,5,5,3,5,2,5,5,3,4,5,2,3,3,5,5,1,5,3,2,5,2,3,3,5,2,5,1,2,"Caucasian (North African, Other)",female,30,36,43,41,31,91,59,62,58,8
3,16,1,1,2,1,CA,2,3,1,1,3,4,2,3,2,1,1,2,2,1,1,3,2,2,2,1,5,3,4,5,5,5,5,5,5,4,3,2,2,3,1,1,4,3,1,3,5,4,3,5,5,3,5,5,5,5,Caucasian (European),male,45,23,22,46,17,20,85,7,8,81
6,16,1,2,1,1,US,3,5,4,5,3,5,3,4,5,2,4,4,2,2,2,3,3,4,3,4,2,5,3,3,4,2,5,3,3,3,4,2,4,2,2,2,3,3,2,3,3,4,4,4,4,5,4,3,3,4,"Caucasian (North African, Other)",female,38,27,39,33,31,80,20,19,58,40
3,22,1,2,2,1,US,2,4,2,4,4,4,4,3,3,4,1,2,2,2,4,2,2,4,3,3,5,4,3,3,4,5,4,3,4,3,4,2,3,4,3,3,4,4,5,4,2,5,3,5,3,2,4,1,5,3,Caucasian (European),female,33,36,34,38,25,64,42,62,34,17
3,27,1,2,1,1,US,1,1,4,2,1,2,1,1,1,1,1,2,1,2,4,5,2,4,4,2,4,3,5,3,4,4,4,2,2,2,3,4,5,5,2,5,5,3,4,4,5,5,5,5,5,5,5,5,5,5,Caucasian (European),female,50,40,15,33,27,5,20,80,42,98
3,31,1,1,1,1,US,3,4,3,2,5,5,4,1,1,5,5,4,4,4,5,5,4,5,4,4,5,3,5,5,5,5,4,4,5,5,3,3,5,4,3,5,4,4,3,5,4,5,4,5,4,4,4,3,5,5,Caucasian (European),male,43,39,33,46,44,60,85,76,95,70
5,41,2,1,1,1,JO,1,1,1,1,5,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,3,5,5,5,5,1,5,2,5,1,2,5,5,3,5,3,1,5,5,5,5,5,5,5,5,4,5,5,Caucasian (Middle East),male,49,35,22,41,10,20,59,57,0,96
1,21,1,2,1,2,US,1,5,5,1,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,1,1,5,5,Mixed Race,female,38,46,26,50,18,34,98,95,10,40
0,15,2,0,0,2,US,3,1,5,2,4,5,1,1,1,1,1,2,1,3,4,4,5,5,4,3,5,5,5,5,5,5,5,5,5,4,4,3,5,4,5,3,5,5,3,5,3,5,4,5,4,4,5,4,5,5,missed,,44,42,24,49,32,27,96,86,62,75
6,35,2,1,1,1,EG,1,1,1,1,1,1,1,1,2,1,1,2,1,5,1,1,2,2,1,1,2,1,5,5,1,5,1,3,5,2,4,4,1,1,5,2,5,3,1,4,1,2,4,2,5,1,3,2,5,5,"Caucasian (North African, Other)",male,30,30,11,30,17,1,12,32,8,8
6,36,1,2,1,1,US,1,2,1,1,2,2,1,1,1,1,2,2,1,2,2,2,3,3,2,2,4,2,2,4,2,4,1,4,4,3,4,2,5,2,3,4,5,4,4,5,4,2,4,3,4,5,4,3,4,4,"Caucasian (North African, Other)",female,37,38,13,30,21,2,12,72,19,35
11,16,1,1,1,5,PH,1,4,3,1,1,1,2,5,1,1,5,3,5,2,1,2,1,5,2,2,5,4,4,5,5,5,5,5,5,4,4,5,5,1,3,1,5,1,2,4,1,3,4,4,1,1,1,1,3,5,"South East Asian (Chinese, Thai, Malay, Filipino, etc)",male,24,31,20,47,28,15,90,37,46,1
3,33,1,2,3,1,AU,3,2,4,3,2,5,3,4,5,3,4,3,1,3,1,1,2,3,2,3,5,5,5,5,5,5,4,4,5,4,3,1,5,4,3,3,4,5,2,4,2,5,5,5,4,5,5,1,5,4,Caucasian (European),female,41,34,34,47,23,64,90,52,26,58
3,15,1,2,1,2,US,1,5,2,2,2,4,1,2,4,4,1,2,1,1,2,1,1,1,2,1,4,4,5,4,5,3,4,4,4,2,4,4,3,1,2,4,5,4,4,2,5,4,4,4,4,4,5,5,5,4,Caucasian (European),female,44,33,27,39,13,37,48,47,2,75
3,15,1,2,2,1,US,1,1,3,1,2,1,1,1,3,1,2,5,1,3,3,3,5,3,2,3,5,5,4,5,5,5,3,5,5,5,5,4,4,5,1,5,2,3,5,3,3,5,5,5,5,5,5,3,4,3,Caucasian (European),female,43,37,15,47,30,5,90,67,54,70
1,20,1,2,1,2,JM,5,4,5,5,5,5,4,4,5,5,4,4,2,3,3,4,2,2,3,3,1,5,4,5,5,5,5,4,5,5,4,3,4,3,3,4,3,3,3,4,4,5,5,4,5,5,5,2,4,5,Mixed Race,female,44,34,47,44,30,97,76,52,54,75
5,32,2,1,1,1,CA,2,2,2,2,2,5,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,4,2,4,4,3,2,3,4,3,4,2,4,3,2,2,4,4,2,4,4,4,4,4,4,4,4,3,4,3,Caucasian (Middle East),male,38,31,23,31,22,23,14,37,23,40
13,16,1,2,1,1,PH,1,3,1,1,4,1,4,1,1,1,4,1,1,4,5,1,1,1,1,2,2,5,2,5,4,3,3,3,5,5,2,2,3,1,1,2,3,1,2,2,4,5,5,5,3,2,3,4,5,5,Other,female,41,19,18,37,21,10,37,2,19,58
3,17,1,2,2,1,US,2,4,5,2,5,4,2,2,2,2,1,2,1,2,4,2,2,4,2,4,5,5,4,4,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,4,2,2,3,4,2,4,2,4,2,Caucasian (European),female,29,50,30,45,24,49,80,99,30,6
3,13,1,1,1,1,US,3,3,3,1,2,3,4,2,3,1,3,5,1,3,2,4,5,5,3,3,1,3,4,4,5,4,4,5,4,3,1,2,4,1,1,3,2,3,2,3,4,4,5,4,3,2,4,3,5,4,Caucasian (European),male,38,22,25,37,34,30,37,6,70,40
3,20,1,2,1,5,US,4,4,3,3,4,4,4,4,4,3,1,2,1,3,2,4,2,3,2,3,4,4,4,3,4,2,4,4,4,4,5,5,4,4,4,4,4,3,4,4,4,3,2,3,3,3,2,3,4,4,Caucasian (European),female,31,41,37,37,23,74,37,83,26,10
3,24,1,1,1,1,US,3,3,5,2,5,4,4,1,3,1,2,4,1,2,2,4,4,5,3,2,4,5,2,4,4,3,4,5,5,5,4,5,4,3,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,Caucasian (European),male,47,46,31,41,29,53,59,95,50,90
3,21,1,1,1,1,US,3,5,4,4,5,5,5,4,4,5,4,2,4,2,5,4,1,4,4,4,1,5,5,3,1,4,3,1,4,1,3,4,5,2,1,5,2,3,4,5,5,5,5,3,5,5,5,5,5,5,Caucasian (European),male,48,34,44,28,34,93,8,52,70,93
5,51,1,2,1,1,US,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,5,5,5,5,5,4,5,5,1,1,1,1,1,5,5,5,5,1,5,5,5,5,5,5,1,1,5,5,Caucasian (Middle East),female,42,26,50,49,34,99,96,16,70,64
3,43,2,2,1,1,MX,4,5,3,4,4,4,3,4,4,2,1,2,2,2,2,1,2,3,1,4,2,3,3,1,1,4,3,3,1,3,2,1,4,1,3,4,2,4,3,3,3,4,5,3,4,5,5,3,5,4,Caucasian (European),female,41,27,37,24,20,74,4,19,16,58
11,25,1,1,2,2,AU,4,5,4,5,4,5,4,4,4,4,5,5,5,4,4,4,4,4,5,4,5,5,5,4,4,5,4,4,4,4,4,4,4,5,4,4,2,4,3,4,3,2,4,2,4,4,4,3,5,4,"South East Asian (Chinese, Thai, Malay, Filipino, etc)",male,35,38,43,44,44,91,76,72,95,25
3,21,1,2,1,2,US,3,4,4,3,5,4,5,2,5,3,4,3,3,3,4,4,3,5,4,4,4,4,4,4,3,3,5,3,3,3,5,2,5,4,2,2,4,4,4,3,4,5,5,5,4,5,5,4,4,4,Caucasian (European),female,45,35,38,36,37,77,32,57,80,81
4,51,1,2,1,1,US,3,3,3,3,5,5,1,1,3,3,1,1,1,1,1,1,1,1,1,1,3,5,3,3,3,5,3,3,5,3,3,3,4,5,5,5,5,5,1,5,5,3,5,3,5,5,5,5,5,5,Caucasian (Indian),female,46,41,30,36,10,49,32,83,0,86
13,27,1,2,3,5,US,5,4,5,5,5,5,5,3,5,1,2,3,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,4,5,5,5,5,5,4,5,5,5,4,1,5,4,Other,female,43,45,43,50,38,91,98,93,83,70
3,48,2,1,1,2,BE,4,4,4,3,4,4,4,3,4,3,3,3,3,2,3,3,4,4,3,3,4,4,5,5,4,4,4,4,4,3,4,2,3,4,4,2,2,5,3,4,5,5,4,4,5,4,5,5,4,5,Caucasian (European),male,46,33,37,41,31,74,59,47,58,86
1,22,1,2,1,1,CA,4,1,5,1,5,5,5,5,5,1,4,4,4,4,5,5,1,1,1,4,1,5,2,4,4,2,4,2,4,5,5,1,5,1,4,4,5,5,5,5,5,1,1,1,5,1,5,5,5,4,Mixed Race,female,33,40,37,33,33,74,20,80,66,17
3,18,1,2,1,1,US,1,1,2,1,2,3,1,1,1,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,2,3,3,4,3,2,4,4,4,4,3,4,4,4,5,3,4,4,3,5,4,Caucasian (European),female,40,34,14,36,36,4,32,52,77,52
3,21,2,2,1,2,US,1,2,4,2,2,4,3,1,5,1,3,5,2,1,5,5,2,3,5,1,3,5,5,5,5,5,5,5,5,5,4,4,5,3,4,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,Caucasian (European),female,47,45,25,48,32,30,93,93,62,90
4,34,2,1,1,1,IN,4,1,5,5,3,2,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,1,5,5,5,5,5,5,5,3,1,5,Caucasian (Indian),male,44,42,40,48,48,83,93,86,98,75
11,20,1,2,1,1,MY,1,3,2,2,3,3,2,2,2,1,2,2,2,3,3,2,2,2,2,3,4,5,4,4,5,5,4,4,4,4,3,3,4,4,3,1,4,3,4,4,3,4,4,3,3,4,4,2,4,3,"South East Asian (Chinese, Thai, Malay, Filipino, etc)",female,34,33,21,43,23,18,70,47,26,20
11,14,2,2,1,1,PH,1,1,2,2,1,3,2,3,3,1,2,1,1,1,3,3,3,3,2,1,2,2,3,4,1,1,2,2,3,2,3,3,5,2,3,4,3,4,2,3,3,3,4,5,3,3,3,2,3,3,"South East Asian (Chinese, Thai, Malay, Filipino, etc)",female,32,32,19,22,20,13,2,42,16,13
3,28,1,1,1,1,GB,5,5,5,4,4,5,4,5,5,5,3,2,2,3,2,4,3,5,2,4,4,5,5,5,5,4,5,5,5,5,3,5,5,4,1,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,Caucasian (European),male,49,42,47,48,30,97,93,86,54,96
3,28,1,2,1,5,NZ,1,3,3,2,3,3,2,3,4,2,4,4,2,2,2,3,2,4,3,3,4,2,2,3,2,3,2,3,4,3,3,3,4,4,3,2,3,4,4,2,3,4,4,4,5,5,3,2,4,4,Caucasian (European),female,38,32,26,28,29,34,8,42,50,40
3,23,1,2,1,1,US,5,4,5,5,4,5,2,5,5,2,1,4,1,2,2,1,1,2,2,3,5,4,5,5,5,5,5,5,5,4,4,3,4,2,3,5,4,4,4,3,2,4,5,5,4,5,3,1,5,4,Caucasian (European),female,38,36,42,48,19,88,93,62,13,40
11,30,1,1,1,1,CA,2,4,3,2,4,4,3,1,2,4,4,4,2,2,2,2,2,2,2,2,5,4,4,4,4,4,4,4,4,4,2,2,4,3,1,1,2,2,1,2,4,4,3,4,4,4,3,4,4,4,"South East Asian (Chinese, Thai, Malay, Filipino, etc)",male,38,20,29,41,24,45,59,3,30,40
3,26,2,1,1,5,CA,1,2,4,2,2,5,3,1,4,1,1,4,2,1,2,2,2,3,2,2,2,4,5,5,4,5,4,3,4,3,4,2,5,2,4,4,4,2,4,4,4,5,4,5,5,4,4,5,5,5,Caucasian (European),male,46,35,25,39,21,30,48,57,19,86
3,22,1,1,1,1,US,2,2,3,2,4,2,3,2,4,2,4,5,2,3,3,2,2,3,2,4,5,3,5,4,3,4,2,5,4,3,2,2,4,3,1,3,4,2,2,3,4,4,2,3,3,3,3,3,5,3,Caucasian (European),male,33,26,26,38,30,34,42,16,54,17
3,32,1,2,2,1,AU,2,4,3,4,4,4,2,2,1,1,3,3,2,2,1,3,3,4,1,3,5,4,4,5,5,4,4,5,5,5,3,3,5,4,3,5,4,4,3,4,4,5,4,5,4,5,4,4,5,4,Caucasian (European),female,44,38,27,46,25,37,85,72,34,75
4,19,2,1,1,1,IN,4,5,5,3,4,4,5,3,5,3,3,5,3,2,2,3,4,5,5,5,1,5,3,5,5,4,5,5,5,5,4,3,5,5,4,5,3,4,3,4,4,4,4,5,4,5,5,3,5,5,Caucasian (Indian),male,44,40,41,43,37,86,70,80,80,75
13,64,2,2,1,1,US,1,2,1,1,3,5,1,5,5,1,5,5,1,1,3,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,5,3,5,4,4,1,3,1,3,3,3,3,3,3,Other,female,27,35,25,50,36,30,98,57,77,3
13,21,1,2,1,2,AU,1,2,3,2,3,3,1,2,3,2,4,4,4,2,4,4,4,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,3,4,4,4,5,4,4,3,Other,female,39,36,22,43,38,20,70,62,83,46
11,18,2,1,2,5,PH,4,4,2,4,4,4,5,4,5,2,1,2,2,2,1,2,1,2,1,2,2,4,1,3,4,3,3,4,4,4,4,2,4,2,2,2,5,2,4,5,5,4,5,4,5,4,4,5,5,5,"South East Asian (Chinese, Thai, Malay, Filipino, etc)",male,46,32,38,32,16,77,17,42,6,86
1,17,2,1,1,1,PH,3,5,5,2,4,4,3,3,4,1,3,1,2,3,2,3,2,4,2,2,2,3,3,4,3,4,3,4,4,4,3,4,4,3,3,4,3,3,3,4,2,3,5,4,3,4,4,3,3,3,Mixed Race,male,34,34,34,34,24,64,23,52,30,20
9,24,1,1,1,1,KR,3,5,5,4,4,4,4,2,4,3,2,4,2,4,3,2,3,5,2,5,2,5,2,4,3,4,4,4,4,5,3,4,4,4,2,2,4,4,4,3,3,3,4,3,4,4,4,3,5,5,"North East Asian (Mongol, Tibetan, Korean Japanese, etc)",male,38,34,38,37,32,77,37,52,62,40
11,22,2,1,1,5,MY,3,2,4,3,3,2,3,3,4,2,3,3,3,3,2,3,3,3,3,3,3,4,5,4,3,3,3,4,3,3,4,3,4,4,3,4,4,4,4,3,3,3,3,3,3,4,3,2,3,2,"South East Asian (Chinese, Thai, Malay, Filipino, etc)",male,29,37,29,35,29,45,27,67,50,6
13,35,2,2,1,1,MY,4,4,4,3,5,5,5,5,5,2,4,4,5,1,5,3,4,5,5,5,2,4,5,3,3,4,5,4,4,4,4,1,5,5,4,5,3,3,5,5,3,5,4,3,4,5,5,2,3,3,Other,female,37,40,42,38,41,88,42,80,90,35
3,40,1,2,1,1,GB,3,3,4,3,4,4,3,2,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,3,4,3,5,3,4,5,4,4,4,3,4,3,4,4,3,Caucasian (European),female,38,36,32,39,38,57,48,62,83,40
5,23,2,1,1,5,AE,1,1,2,5,2,1,1,2,1,1,1,2,1,1,2,1,2,2,1,5,5,1,3,4,4,3,4,4,4,5,3,2,5,5,2,5,4,5,2,2,4,5,1,4,4,4,5,5,4,4,Caucasian (Middle East),male,40,35,17,37,18,8,37,57,10,52
13,16,1,2,1,1,US,2,4,2,4,2,3,3,4,2,1,2,3,3,3,3,2,3,3,2,3,3,3,4,3,4,4,3,2,2,3,3,3,3,3,1,2,3,3,1,3,3,4,3,4,2,3,3,2,3,3,Other,female,30,25,27,31,27,37,14,12,42,8
4,24,2,1,1,1,PK,2,3,1,1,3,4,1,1,2,1,1,1,2,3,1,1,1,1,3,3,3,4,3,5,4,4,4,5,5,4,2,3,3,1,1,2,2,2,2,3,3,3,5,3,3,5,4,5,5,3,Caucasian (Indian),male,39,21,19,41,17,13,59,4,8,46
13,28,1,2,1,1,IN,4,4,5,2,5,2,4,2,4,3,1,3,1,3,1,1,1,2,2,2,5,5,4,3,1,5,1,4,4,4,4,3,5,4,5,3,3,3,4,4,4,2,5,3,4,2,5,3,3,4,Other,female,35,38,35,36,17,68,32,72,8,25
3,29,1,1,1,2,AU,1,4,1,3,2,4,1,2,2,1,3,3,2,2,5,3,4,5,2,3,2,3,2,3,4,4,4,3,3,2,3,3,5,5,2,4,3,5,3,4,4,5,1,5,5,3,5,5,5,5,Caucasian (European),male,43,37,21,30,32,18,12,67,62,70
11,22,1,1,1,1,GB,4,3,5,4,2,4,4,2,4,2,4,5,3,4,4,4,4,4,2,4,4,4,4,4,4,3,4,3,4,2,4,4,4,4,3,2,4,4,3,3,5,5,5,5,4,4,4,4,4,4,"South East Asian (Chinese, Thai, Malay, Filipino, etc)",male,44,35,34,36,38,64,32,57,83,75
4,20,2,1,1,1,IN,1,3,3,2,3,3,1,3,3,3,4,2,2,3,2,2,2,2,4,3,2,3,4,4,4,5,4,3,4,2,2,2,2,4,3,3,4,3,2,3,3,2,4,2,4,4,3,2,3,4,Caucasian (Indian),male,31,28,25,35,26,30,27,23,37,10
13,21,2,2,1,1,IN,1,4,4,4,4,4,1,2,2,3,1,3,2,4,3,4,4,4,4,2,1,5,5,5,4,5,3,4,4,4,3,5,3,4,3,5,4,3,3,3,3,4,2,2,2,3,5,2,3,2,Other,female,28,36,29,40,31,45,54,62,58,4
3,31,1,1,1,1,US,4,4,4,4,4,4,2,4,4,4,3,4,3,4,4,4,2,2,3,4,4,5,3,4,4,3,4,4,4,4,3,4,4,5,4,4,4,3,2,4,4,5,5,5,4,5,5,4,5,5,Caucasian (European),male,47,37,38,39,33,77,48,67,66,90
3,64,2,1,1,1,FR,3,2,3,3,2,3,2,2,4,3,2,3,2,4,3,5,4,5,5,4,5,5,5,4,4,4,4,5,5,5,3,2,4,4,4,1,4,3,4,5,4,5,4,5,4,4,4,3,4,4,Caucasian (European),male,41,34,27,46,37,37,85,52,80,58
