FACILITY,ADDRESS,CITY,STATE,ZIP,CREDENTIALID,LAWENFORCEMENT,New Georeferenced Column
NORTH HAVEN POLICE DEPARTMENT,8 LINSLEY ST,NORTH HAVEN,CT,06473-2517,1599071,true,POINT (-72.862212 41.387125000000005)
WEST HARTFORD POLICE DEPARTMENT,103 RAYMOND RD,WEST HARTFORD,CT,06107-2538,1615872,true,POINT (-72.738978 41.75897500000001)
BERLIN POLICE DEPT.,240 KENSINGTON RD,KENSINGTON,CT,06037-2655,1618891,true,POINT (-72.770646 41.627421)
DESPP DIVISION OF STATE POLICE TROOP B,463B ASHLEY FALLS ROAD,NORTH CANAAN,CT,06018,1342876,true,POINT (-73.325516 42.042467)
DESPP DIVISION OF STATE POLICE TROOP D,55 WESTCOTT RD,DANIELSON,CT,06239-2929,1342230,true,POINT (-71.876592 41.809336)
ELLINGTON POLICE DEPARTMENT,33 ARBOR WAY,ELLINGTON,CT,06029-3354,1345706,true,POINT (-72.464406 41.903188)
MONROE POLICE DEPARTMENT,7 FAN HILL ROAD,MONROE,CT,06468,1487394,true,POINT (-73.207425 41.332551)
CVS PHARMACY #1948,690 WETHERSFIELD AVE,HARTFORD,CT,06114-1930,1799036,false,POINT (-72.671071 41.737257)
CVS PHARMACY #3549,355 CAMPBELL AVE,WEST HAVEN,CT,06516-5329,1676973,false,POINT (-72.948398 41.268081)
EAST LYME POLICE DEPARTMENT,278 MAIN ST,NIANTIC,CT,06357-3102,1176683,true,POINT (-72.193851 41.323173)
MASHANTUCKET PEQUOT TRIBAL POLICE DEPARTMENT,101 PEQUOT TRL,MASHANTUCKET,CT,06338-3196,1332185,true,POINT (-71.958538 41.466045)
CVS PHARMACY #822,40 EAST ST,NEW MILFORD,CT,06776-3014,2154043,true,POINT (-73.408642 41.579274)
NEW MILFORD POLICE DEPARTMENT,49 POPLAR ST,NEW MILFORD,CT,06776-2920,1241492,true,POINT (-73.407866 41.586193)
COVENTRY POLICE DEPARTMENT,1585 MAIN ST,COVENTRY,CT,06238-1749,1250708,true,POINT (-72.309663 41.777738)
HEBRON RESIDENT TROOPER'S OFFICE,44 MAIN ST,HEBRON,CT,06248-1515,1401473,true,POINT (-72.362435 41.659102)
GLASTONBURY POLICE DEPARTMENT,2108 MAIN STREET,GLASTONBURY,CT,06033,1418016,true,POINT (-72.608024 41.706063)
SIMSBURY POLICE DEPARTMENT,933 HOPMEADOW ST,SIMSBURY,CT,06070-1822,1045811,true,POINT (-72.800071 41.880113)
WOLCOTT POLICE DEPT.,225 NICHOLS RD,WOLCOTT,CT,06716-2718,1055726,true,POINT (-72.981443 41.578536)
PORTLAND POLICE DEPARTMENT,265 MAIN STREET,PORTLAND,CT,06480,1441599,true,POINT (-72.638547 41.575749)
ORANGE POLICE DEPARTMENT,314 LAMBERT ROAD,ORANGE,CT,06477,1523092,true,POINT (-73.006928 41.264474)
CANTON POLICE DEPARTMENT,45 RIVER RD,COLLINSVILLE,CT,06019-3174,1081985,true,POINT (-72.920008 41.816578)
DESPP DIVISION OF STATE POLICE TROOP I,631 AMITY RD,BETHANY,CT,06524-3026,1342215,true,POINT (-72.993243 41.432934)
TOWN OF NORTH BRANFORD POLICE DEPT.,260 FOREST ROAD,NORTH BRANFORD,CT,06471,2218236,true,POINT (-72.801852 41.351274)
WATERFORD POLICE DEPARTMENT,41 AVERY LN,WATERFORD,CT,06385-2202,1043428,true,POINT (-72.137161 41.344559)
STAFFORD POLICE,2 MAIN ST,STAFFORD SPRINGS,CT,06076-1411,1253849,true,POINT (-72.303269 41.953551)
NAUGATUCK POLICE DEPARTMENT,211 SPRING ST,NAUGATUCK,CT,06770-2990,1070785,true,POINT (-73.054712 41.505565)
WILLIMANTIC POLICE DEPARTMENT,22 MEADOW ST,WILLIMANTIC,CT,06226-2507,1256095,true,POINT (-72.213104 41.713047)
BETHEL POLICE DEPARTMENT,12 Judd Avenue,BETHEL,CT,06801-1616,1231136,true,POINT (-73.396607 41.376717)
PLYMOUTH POLICE DEPARTMENT,80 MAIN ST,TERRYVILLE,CT,06786-5107,1427199,true,POINT (-73.000921 41.679092)
DESPP DIVISION OF STATE POLICE TROOP E,,UNCASVILLE,CT,06382-0306,1343492,true,POINT (-72.111924 41.463809000000005)
WINDSOR POLICE DEPARTMENT,110 ADDISON RD,WINDSOR,CT,06095-2171,1467498,true,POINT (-72.674237 41.869613)
FARMINGTON POLICE DEPARTMENT,319 NEW BRITAIN AVE,UNIONVILLE,CT,06085-1224,1130540,true,POINT (-72.873663 41.748653)
MOHEGAN TRIBAL POLICE,49 SANDY DESERT RD,UNCASVILLE,CT,06382-1111,1338385,true,POINT (-72.095818 41.492638)
